tiempo;NOUN;time;NULL;NULL;SINGULAR;M
persona;NOUN;person;NULL;NULL;SINGULAR;F
año;NOUN;year;NULL;NULL;SINGULAR;M
día;NOUN;day;NULL;NULL;SINGULAR;M
manera;NOUN;way;NULL;NULL;SINGULAR;F
país;NOUN;country;NULL;NULL;SINGULAR;M
vida;NOUN;life;NULL;NULL;SINGULAR;F
mano;NOUN;hand;NULL;NULL;SINGULAR;F
parte;NOUN;part;NULL;NULL;SINGULAR;F
caso;NOUN;case;NULL;NULL;SINGULAR;M
grupo;NOUN;group;NULL;NULL;SINGULAR;M
problema;NOUN;problem;NULL;NULL;SINGULAR;M
hecho;NOUN;fact;NULL;NULL;SINGULAR;M
sistema;NOUN;system;NULL;NULL;SINGULAR;M
lugar;NOUN;place;NULL;NULL;SINGULAR;M
trabajo;NOUN;work;NULL;NULL;SINGULAR;M
manera;NOUN;way;NULL;NULL;SINGULAR;F
programa;NOUN;program;NULL;NULL;SINGULAR;M
historia;NOUN;history;NULL;NULL;SINGULAR;F
juego;NOUN;game;NULL;NULL;SINGULAR;M
familia;NOUN;family;NULL;NULL;SINGULAR;F
gobierno;NOUN;government;NULL;NULL;SINGULAR;M
compañía;NOUN;company;NULL;NULL;SINGULAR;F
número;NOUN;number;NULL;NULL;SINGULAR;M
sistema;NOUN;system;NULL;NULL;SINGULAR;M
semana;NOUN;week;NULL;NULL;SINGULAR;F
empresa;NOUN;business;NULL;NULL;SINGULAR;F
punto;NOUN;point;NULL;NULL;SINGULAR;M
casa;NOUN;house;NULL;NULL;SINGULAR;F
país;NOUN;country;NULL;NULL;SINGULAR;M
historia;NOUN;history;NULL;NULL;SINGULAR;F
partido;NOUN;party;NULL;NULL;SINGULAR;M
información;NOUN;information;NULL;NULL;SINGULAR;F
universidad;NOUN;university;NULL;NULL;SINGULAR;F
ciudad;NOUN;city;NULL;NULL;SINGULAR;F
equipo;NOUN;team;NULL;NULL;SINGULAR;M
mercado;NOUN;market;NULL;NULL;SINGULAR;M
manera;NOUN;way;NULL;NULL;SINGULAR;F
nivel;NOUN;level;NULL;NULL;SINGULAR;M
lugar;NOUN;place;NULL;NULL;SINGULAR;M
plan;NOUN;plan;NULL;NULL;SINGULAR;M
proceso;NOUN;process;NULL;NULL;SINGULAR;M
servicio;NOUN;service;NULL;NULL;SINGULAR;M
estudio;NOUN;study;NULL;NULL;SINGULAR;M
vida;NOUN;life;NULL;NULL;SINGULAR;F
medio;NOUN;means;NULL;NULL;SINGULAR;M
razón;NOUN;reason;NULL;NULL;SINGULAR;F
momento;NOUN;moment;NULL;NULL;SINGULAR;M
persona;NOUN;person;NULL;NULL;SINGULAR;F
lugar;NOUN;place;NULL;NULL;SINGULAR;M
perro;NOUN;dog;NULL;NULL;SINGULAR;M
gato;NOUN;cat;NULL;NULL;SINGULAR;M
mi;ADJECTIVE;my;NULL;NULL;SINGULAR;NULL
tu;ADJECTIVE;your;NULL;NULL;SINGULAR;NULL
su;ADJECTIVE;his;NULL;NULL;SINGULAR;NULL
nuestro;ADJECTIVE;our;NULL;NULL;SINGULAR;M
vuestro;ADJECTIVE;your;NULL;NULL;SINGULAR;,
su;ADJECTIVE;their;NULL;NULL;SINGULAR;NULL
este;ADJECTIVE;this;NULL;NULL;SINGULAR;M
ese;ADJECTIVE;that;NULL;NULL;SINGULAR;M
aquel;ADJECTIVE;that;NULL;NULL;SINGULAR;M
estos;ADJECTIVE;these;NULL;NULL;PLURAL;M
esos;ADJECTIVE;those;NULL;NULL;PLURAL;M
aquellos;ADJECTIVE;those;NULL;NULL;PLURAL;M
bueno;ADJECTIVE;good;NULL;NULL;SINGULAR;M
buena;ADJECTIVE;good;NULL;NULL;SINGULAR;F
malo;ADJECTIVE;bad;NULL;NULL;SINGULAR;M
mala;ADJECTIVE;bad;NULL;NULL;SINGULAR;F
grande;ADJECTIVE;big;NULL;NULL;SINGULAR;M
pequeño;ADJECTIVE;small;NULL;NULL;SINGULAR;M
pequeña;ADJECTIVE;small;NULL;NULL;SINGULAR;F
importante;ADJECTIVE;important;NULL;NULL;SINGULAR;NULL
fácil;ADJECTIVE;easy;NULL;NULL;SINGULAR;NULL
difícil;ADJECTIVE;difficult;NULL;NULL;SINGULAR;NULL
nuevo;ADJECTIVE;new;NULL;NULL;SINGULAR;M
nueva;ADJECTIVE;new;NULL;NULL;SINGULAR;F
viejo;ADJECTIVE;old;NULL;NULL;SINGULAR;M
vieja;ADJECTIVE;old;NULL;NULL;SINGULAR;F
hermoso;ADJECTIVE;beautiful;NULL;NULL;SINGULAR;M
hermosa;ADJECTIVE;beautiful;NULL;NULL;SINGULAR;F
feo;ADJECTIVE;ugly;NULL;NULL;SINGULAR;M
